timestamp_et,symbol,action,price,qty,pnl_usd,slippage_bps,signal,portfolio
2026-05-27 10:13:01,QQQ,ENTER,728.5267,3,0.0000,1.1900,0.2045,99135.2800
2026-05-27 10:13:02,QQQ,EXIT_신호소멸,728.5300,3,0.0100,0.0000,-0.2449,99135.2000
2026-05-27 10:35:01,QQQ,ENTER,727.0900,3,0.0000,0.0000,0.2397,99135.2900
2026-05-27 10:38:59,QQQ,EXIT_신호소멸,728.2700,3,3.5400,0.0000,-0.1957,99138.9100
2026-05-27 10:46:01,QQQ,ENTER,728.1633,3,0.0000,0.6000,0.2154,99138.8300
2026-05-27 10:46:59,QQQ,EXIT_신호소멸,728.6300,3,1.4000,0.0000,-0.2035,99140.2300
2026-05-27 11:47:03,QQQ,ENTER,725.9600,3,0.0000,-0.4100,0.4519,99140.2300
2026-05-27 11:50:01,QQQ,EXIT_신호소멸,726.0000,3,0.1200,0.0000,-0.2264,99140.4000
2026-05-27 12:14:03,QQQ,ENTER,728.1600,3,0.0000,0.4100,0.2441,99140.3500
2026-05-27 12:14:04,QQQ,EXIT_신호소멸,728.1200,3,-0.1200,0.0000,-0.1967,99140.2000
2026-05-27 12:32:03,QQQ,ENTER,728.1900,3,0.0000,-0.4800,0.2194,99140.2300
2026-05-27 12:33:01,QQQ,EXIT_신호소멸,728.3900,3,0.6000,0.0000,-0.1276,99140.9200
2026-05-27 12:47:03,QQQ,ENTER,729.4667,3,0.0000,0.0900,0.3782,99140.8300
2026-05-27 12:47:04,QQQ,EXIT_신호소멸,729.4067,3,-0.1800,0.0000,-0.1277,99140.7500
2026-05-27 12:54:03,QQQ,ENTER,728.5900,3,0.0000,0.5500,0.3203,99140.6500
2026-05-27 12:59:01,QQQ,EXIT_신호소멸,728.0933,3,-1.4900,0.0000,-0.1438,99139.2000
2026-05-27 13:17:03,QQQ,ENTER,726.7333,3,0.0000,-0.6200,0.2215,99139.1600
2026-05-27 13:22:01,QQQ,EXIT_신호소멸,727.2233,3,1.4700,0.0000,-0.1302,99140.6100
2026-05-27 13:33:03,QQQ,ENTER,727.5233,3,0.0000,0.7600,0.2488,99140.6300
2026-05-27 13:36:01,QQQ,EXIT_신호소멸,727.7900,3,0.8000,0.0000,-0.1770,99141.4900
2026-05-27 13:49:03,QQQ,ENTER,727.1867,3,0.0000,0.4800,0.2832,99141.4300
2026-05-27 13:54:01,QQQ,EXIT_신호소멸,727.9233,3,2.2100,0.0000,-0.1040,99143.7500
2026-05-27 14:00:03,QQQ,ENTER,727.7800,3,0.0000,0.9600,0.2709,99143.6400
2026-05-27 14:01:01,QQQ,EXIT_신호소멸,727.5300,3,-0.7500,0.0000,-0.1392,99142.9500
2026-05-27 14:16:03,QQQ,ENTER,728.3467,3,0.0000,0.4800,0.6269,99142.8900
2026-05-27 14:20:01,QQQ,EXIT_신호소멸,728.5900,3,0.7300,0.0000,-0.2685,99143.6200
2026-05-27 14:34:03,QQQ,ENTER,729.6600,3,0.0000,0.4800,0.3790,99143.6200
2026-05-27 14:35:01,QQQ,EXIT_신호소멸,729.6233,3,-0.1100,0.0000,-0.2119,99143.5300
2026-05-27 14:49:03,QQQ,ENTER,729.5800,3,0.0000,0.0000,0.2341,99143.5100
2026-05-27 15:00:01,QQQ,EXIT_신호소멸,729.3800,3,-0.6000,0.0000,-0.1457,99142.7300
2026-05-27 15:26:03,QQQ,ENTER,729.2833,3,0.0000,0.0000,0.2181,99142.9100
2026-05-27 15:36:01,QQQ,EXIT_신호소멸,729.5033,3,0.6600,0.0000,-0.3259,99143.6200
