timestamp_et,symbol,action,price,qty,pnl_usd,slippage_bps,signal,portfolio
2026-05-29 10:00:04,SPY,ENTER,757.8400,3,0.0000,0.3300,0.2268,99161.1300
2026-05-29 10:02:03,SPY,EXIT_신호소멸,757.8500,3,0.0300,-0.3300,-0.1400,99161.2300
2026-05-29 10:16:03,SPY,ENTER,757.0567,3,0.0000,0.4800,0.2049,99161.2300
2026-05-29 10:20:04,SPY,EXIT_신호소멸,756.7400,3,-0.9500,0.0000,-0.1514,99160.2800
2026-05-29 10:27:03,QQQ,ENTER,737.2233,3,0.0000,0.5400,0.2665,99160.2800
2026-05-29 10:30:03,QQQ,EXIT_신호소멸,738.5700,3,4.0400,1.0200,-0.1487,99164.3200
2026-05-29 10:59:03,QQQ,ENTER,737.4700,3,0.0000,0.0000,0.2260,99164.3200
2026-05-29 11:01:03,QQQ,EXIT_신호소멸,737.0333,3,-1.3100,0.0000,-0.2966,99163.0100
2026-05-29 11:37:03,QQQ,ENTER,738.8533,3,0.0000,0.4500,0.2846,99163.0100
2026-05-29 11:42:03,QQQ,EXIT_신호소멸,738.2500,3,-1.8100,0.0000,-0.1184,99161.2000
2026-05-29 12:15:03,QQQ,ENTER,739.2900,3,0.0000,0.4100,0.2239,99161.2000
2026-05-29 12:17:03,QQQ,EXIT_신호소멸,739.2500,3,-0.1200,0.0000,-0.1242,99161.0800
2026-05-29 12:28:03,QQQ,ENTER,738.6033,3,0.0000,0.5200,0.2483,99161.0800
2026-05-29 12:30:02,QQQ,EXIT_신호소멸,738.4500,3,-0.4600,0.0000,-0.2175,99160.6200
2026-05-29 12:43:03,QQQ,ENTER,739.0300,3,0.0000,0.1400,0.2931,99160.6200
2026-05-29 12:49:02,QQQ,EXIT_신호소멸,738.8600,3,-0.5100,0.0000,-0.1009,99160.1100
2026-05-29 13:01:03,QQQ,ENTER,738.4867,3,0.0000,0.5000,0.2092,99160.1100
2026-05-29 13:04:02,QQQ,EXIT_신호소멸,738.3300,3,-0.4700,0.0000,-0.6196,99159.6400
2026-05-29 13:24:04,QQQ,ENTER,737.4967,3,0.0000,-0.5400,0.2111,99159.6400
2026-05-29 13:32:02,QQQ,EXIT_신호소멸,737.4233,3,-0.2200,0.0000,-0.1107,99159.4200
2026-05-29 13:48:03,QQQ,ENTER,737.1233,3,0.0000,0.1800,0.2495,99159.4200
2026-05-29 13:52:01,QQQ,EXIT_신호소멸,737.2900,3,0.5000,0.0000,-0.2039,99159.9200
2026-05-29 14:11:03,QQQ,ENTER,737.2100,3,0.0000,0.0000,0.2695,99159.9200
2026-05-29 14:13:01,QQQ,EXIT_신호소멸,737.3900,3,0.5400,0.0000,-0.1718,99160.4600
2026-05-29 14:30:03,QQQ,ENTER,737.9167,3,0.0000,0.6100,0.2527,99160.4600
2026-05-29 14:32:03,QQQ,EXIT_신호소멸,738.2700,3,1.0600,0.0000,-0.1616,99161.5200
2026-05-29 14:40:03,QQQ,ENTER,737.8200,3,0.0000,0.2700,0.2832,99161.5200
2026-05-29 14:56:01,QQQ,EXIT_신호소멸,736.9400,3,-2.6400,0.0000,-0.2376,99158.8800
2026-05-29 15:04:03,QQQ,ENTER,737.1567,3,0.0000,-0.3200,0.2068,99158.8800
2026-05-29 15:09:03,QQQ,EXIT_신호소멸,737.5367,3,1.1400,0.0000,-0.2449,99160.0200
2026-05-29 15:16:03,QQQ,ENTER,737.4600,3,0.0000,0.3400,0.5576,99160.0200
2026-05-29 15:22:03,QQQ,EXIT_신호소멸,737.3967,3,-0.1900,0.0000,-0.2245,99159.8300
2026-05-29 15:28:03,QQQ,ENTER,737.6933,3,0.0000,0.3800,0.2892,99159.8300
2026-05-29 15:31:02,QQQ,EXIT_신호소멸,738.0100,3,0.9500,0.0000,-0.2762,99160.7800
