bucket,n_days,avg_trades_per_day,quoted_bps,quoted_half_bps,eff_half_bps,roundtrip_taker_bps,roundtrip_eff_bps,outside_nbbo_share,signed_bps
09:30,13,88781.61538461539,0.42616965814213337,0.21308482907106668,0.16081825721606838,0.42616965814213337,0.32163651443213676,0.10393957168887183,-0.0038946962203531927
10:00,13,76336.07692307692,0.41761500073044644,0.20880750036522322,0.1349965256191534,0.41761500073044644,0.2699930512383068,0.09284550404133946,-0.0013647257191858676
10:30,13,75748.92307692308,0.4213216861290047,0.21066084306450236,0.12298714107202999,0.4213216861290047,0.24597428214405997,0.10837625515874305,-0.002493000643099863
11:00,13,68469.07692307692,0.2889421826706275,0.14447109133531374,0.10434878564588443,0.2889421826706275,0.20869757129176886,0.1013798480616741,-0.0020939015834755027
11:30,13,62388.07692307692,0.28903404821061635,0.14451702410530817,0.09741083661014792,0.28903404821061635,0.19482167322029584,0.09944824269923372,0.003173759349592061
12:00,13,52212.692307692305,0.2933755794165025,0.14668778970825125,0.09926084440870969,0.2933755794165025,0.19852168881741938,0.08665001878411527,-0.003580172564228841
12:30,13,31256.384615384617,0.28742239595283126,0.14371119797641563,0.09385024683395086,0.28742239595283126,0.18770049366790173,0.04979167333197154,-0.0013646577395236904
13:00,13,30203.30769230769,0.2838087129272287,0.14190435646361435,0.08953535204619557,0.2838087129272287,0.17907070409239115,0.043533184088344876,0.0034013872173616444
13:30,13,31999.923076923078,0.2961602819460026,0.1480801409730013,0.10488219203107153,0.2961602819460026,0.20976438406214307,0.031593825946697,0.002959187403789102
14:00,13,30668.384615384617,0.28563267637791784,0.14281633818895892,0.08872924240806564,0.28563267637791784,0.17745848481613127,0.043357102904770385,0.006386028736043937
14:30,13,27782.0,0.28473804100201894,0.14236902050100947,0.08021607366970808,0.28473804100201894,0.16043214733941616,0.040527070654491286,-0.007075225266672852
15:00,13,31180.846153846152,0.2814681378081443,0.14073406890407214,0.09194490665178051,0.2814681378081443,0.18388981330356102,0.04661885625050883,-0.003502929936213387
15:30,13,63149.38461538462,0.280418384229015,0.1402091921145075,0.0784566173978328,0.280418384229015,0.1569132347956656,0.04273139880771113,0.0023801406560446737
