date,bucket,n_trades,dollar_vol,outside_nbbo_share,quoted_bps,eff_half_bps,eff_half_bps_wmean,signed_bps
2026-05-01,09:30,90505,4392508050.4691,0.09745317938235454,0.2977963073255183,0.14830414213455495,0.13889753199466223,0.014956845288158629
2026-05-01,10:00,66167,2715311370.4087,0.05721885532062809,0.29621291784676157,0.07407901267485169,0.11014823691308902,-0.004441513375284044
2026-05-01,10:30,66259,2296060800.4166,0.10291432107336362,0.4449817186690063,0.1112908251834271,0.12829832878791178,-0.006692217595012933
2026-05-01,11:00,58288,1674231400.3436,0.09152827340104308,0.297159158444993,0.0742947570189296,0.11600713858799958,-0.019738039586240506
2026-05-01,11:30,64302,2031666377.4316,0.09502037261671492,0.2961558964653127,0.07409218549712822,0.1333884021689552,-0.007042312722881605
2026-05-01,12:00,43777,1932026032.6325002,0.06820933366836468,0.2963972909284914,0.07415262092431914,0.10614743968752054,-0.0036387203007813055
2026-05-01,12:30,24507,923089105.0093,0.027461541600359074,0.29668748423820757,0.07419773696895496,0.08989193928522872,0.0006456641048348395
2026-05-01,13:00,20258,839709654.4131,0.027544673709151923,0.14834924378959485,0.07413063300140778,0.08517349091418712,0.006581015027522486
2026-05-01,13:30,20700,612669945.9501,0.02352657004830916,0.2961602819460026,0.07405706837682388,0.09118072802996606,0.009151154454662002
2026-05-01,14:00,33173,1006241620.2497,0.024688752901456,0.29640168356129304,0.07411524921245806,0.09930972690022978,0.004684956542167712
2026-05-01,14:30,25190,1044993247.5732001,0.04799523620484314,0.2965599051005607,0.07422857948760683,0.09188871096915893,0.00858695288725858
2026-05-01,15:00,28762,1371782995.0536,0.020791321883040115,0.14830304243678072,0.07408559850044011,0.08072963136178211,0.019029672124323972
2026-05-01,15:30,58474,2411470219.7583,0.026387796285528564,0.14836685187781848,0.07412294030872876,0.08638022861598182,-0.004935332945916579
2026-05-04,09:30,71232,2319210457.8965006,0.17211365678346813,0.4449817186690063,0.14821841465738708,0.16835984351042066,-0.007143266903048235
2026-05-04,10:00,53522,1419034887.9317,0.10192070550427856,0.44384279088306544,0.14793118241380648,0.1437771282269658,-0.0029003001518784263
