signal_time,symbol,signal_score,obi_raw,tfi_raw,is_signal,ret_1s,ret_5s,ret_10s,ret_30s,ret_60s
2025-04-03 10:27:00-04:00,QQQ,0.150115,0.150115,-0.294387,False,3.222e-05,-0.00025296,-0.0003858,0.00049233,0.00099672
2025-04-03 10:28:00-04:00,QQQ,0.209922,0.209922,-0.248252,False,-6.57e-05,-8.759e-05,4.358e-05,-0.00111683,-0.00120793
2025-04-03 10:29:00-04:00,QQQ,0.149218,0.149218,-0.161504,False,6.928e-05,9.121e-05,0.00079281,0.00066126,0.00066126
2025-04-03 10:30:00-04:00,QQQ,-0.096591,-0.096591,0.111499,False,-0.00017528,0.00065732,0.00113672,0.00056968,0.00043536
2025-04-03 10:31:00-04:00,QQQ,-0.151996,-0.151996,0.160539,False,4.665e-05,-9.571e-05,-6.286e-05,6.592e-05,-0.00017236
2025-04-03 10:32:00-04:00,QQQ,0.16315,0.16315,0.193476,False,-0.00013143,-3.264e-05,-0.00041619,0.00024095,0.00061334
2025-04-03 10:33:00-04:00,QQQ,-0.352074,-0.352074,0.139223,False,2.2e-07,-8.757e-05,-0.00019965,-0.00146673,-0.00181699
2025-04-03 10:34:00-04:00,QQQ,-0.319862,-0.319862,0.089483,False,-2.456e-05,-0.00030726,-0.00037283,-0.00015681,-0.00054828
2025-04-03 10:35:00-04:00,QQQ,-0.059388,-0.059388,-0.006285,False,0.0,0.00028504,2.194e-05,-0.00032915,-0.00059247
2025-04-03 10:36:00-04:00,QQQ,0.044222,0.044222,0.021763,False,0.00013174,-2.459e-05,0.00032934,-0.00028543,-0.0004198
2025-04-03 10:37:00-04:00,QQQ,-0.491149,-0.491149,-0.146167,False,-8.698e-05,-0.00016211,-0.00012916,-0.00015112,-0.00054694
2025-04-03 10:38:00-04:00,QQQ,0.375365,0.375365,-0.254316,True,-8.681e-05,2.461e-05,8.835e-05,0.00030922,-0.00036219
2025-04-03 10:39:00-04:00,QQQ,0.311951,0.311951,-0.25568,True,6.376e-05,0.00047269,0.00057998,0.00062659,0.00073651
2025-04-03 10:40:00-04:00,QQQ,-0.011448,-0.011448,-0.251441,False,0.00013028,0.00024166,3.295e-05,-0.00019772,-0.0008568
2025-04-03 10:41:00-04:00,QQQ,0.092378,0.092378,-0.33619,False,-4.398e-05,-0.0001924,-8.795e-05,0.00012093,0.00101146
2025-04-03 10:42:00-04:00,QQQ,-0.230674,-0.230674,-0.320208,False,-4.393e-05,0.00033015,-0.00024163,-0.00099945,-0.00173531
2025-04-03 10:43:00-04:00,QQQ,-0.429561,-0.429561,-0.190555,False,0.0,-0.00026405,-0.00039607,0.00019804,0.00042908
2025-04-03 10:44:00-04:00,QQQ,-0.268404,-0.268404,-0.177387,False,-9.898e-05,-3.563e-05,-0.00015946,-0.0003959,0.00026394
2025-04-03 10:45:00-04:00,QQQ,0.199127,0.199127,-0.192955,False,-5.497e-05,0.00012094,5.233e-05,-0.00084657,-0.00182486
2025-04-03 10:46:00-04:00,QQQ,-0.292392,-0.292392,0.021011,False,-3.348e-05,-8.613e-05,-3.326e-05,-0.00028307,5.485e-05
2025-04-03 10:47:00-04:00,QQQ,0.069153,0.069153,0.074047,False,-0.00026808,-0.00035245,-0.00048461,-0.00070643,-0.00090314
2025-04-03 10:48:00-04:00,QQQ,-0.023577,-0.023577,0.017964,False,4.388e-05,0.00013229,-0.0001098,-0.00036379,-0.00017925
2025-04-03 10:49:00-04:00,QQQ,0.650853,0.650853,0.034902,True,-1.919e-05,0.00026727,0.0007416,-0.0001537,-0.00063818
2025-04-03 10:50:00-04:00,QQQ,0.01798,0.01798,0.078758,False,-4.435e-05,7.039e-05,-0.00013085,-0.00090315,-0.00099142
2025-04-03 10:51:00-04:00,QQQ,-0.121989,-0.121989,0.191052,False,0.00022088,0.00036069,2.2e-07,0.00027521,-4.418e-05
2025-04-03 10:53:00-04:00,QQQ,-0.561371,-0.561371,0.245714,False,0.00026492,0.00011038,-0.0001329,-0.00068437,-0.00078372
2025-04-03 10:54:00-04:00,QQQ,-0.190477,-0.190477,0.228595,False,0.00015466,-2.209e-05,6.628e-05,-6.628e-05,0.00103841
2025-04-03 10:55:00-04:00,QQQ,-0.215215,-0.215215,0.261758,False,0.00012139,6.621e-05,0.00023152,-0.00030016,0.00058488
2025-04-03 10:56:00-04:00,QQQ,-0.521329,-0.521329,0.042354,False,-5.515e-05,0.00025367,0.00024264,-0.00011029,-0.00055145
2025-04-03 10:57:00-04:00,QQQ,-0.165136,-0.165136,0.030403,False,8.652e-05,-0.0001876,0.00026484,0.00028691,0.0002207
2025-04-03 10:58:00-04:00,QQQ,-0.409388,-0.409388,0.129604,False,6.62e-05,-4.413e-05,-0.00022065,-0.00026478,-0.0005075
2025-04-03 10:59:00-04:00,QQQ,0.171642,0.171642,0.160116,False,-6.623e-05,-0.00013246,-0.00019891,-0.00064022,-0.00068437
2025-04-03 11:00:00-04:00,QQQ,0.109882,0.109882,0.141824,False,-6.627e-05,0.00104052,0.00055428,0.00086157,0.00090576
2025-04-03 11:01:00-04:00,QQQ,0.371464,0.371464,0.105271,True,-0.00021829,-8.829e-05,-0.00024102,-2.229e-05,-0.00044364
2025-04-03 11:02:00-04:00,QQQ,-0.298218,-0.298218,0.202222,False,-6.404e-05,-0.00017268,-0.00028485,0.0069137,-0.00021861
2025-04-03 11:03:00-04:00,QQQ,-0.475465,-0.475465,0.134998,False,0.0002403,-0.00011286,-8.967e-05,-0.00027608,0.00015195
2025-04-03 11:04:00-04:00,QQQ,-0.145001,-0.145001,0.12126,False,0.00013515,0.00023452,0.00017666,0.00042223,0.0004962
2025-04-03 11:05:00-04:00,QQQ,-0.21581,-0.21581,0.1109,False,9.16e-05,-0.00020637,-0.00049552,-0.0011963,-0.00159669
2025-04-03 11:06:00-04:00,QQQ,0.117034,0.117034,-0.056866,False,-0.00017708,-0.00022129,2.012e-05,0.00050825,-0.00033183
2025-04-03 11:07:00-04:00,QQQ,-0.300545,-0.300545,-0.148658,False,6.634e-05,-0.00033172,-0.00014374,-0.00123842,-0.00131582
2025-04-03 11:08:00-04:00,QQQ,-0.036701,-0.036701,-0.04382,False,5.381e-05,0.00082906,0.00111826,0.00127326,0.001161
2025-04-03 11:09:00-04:00,QQQ,0.118471,0.118471,-0.160632,False,-2.057e-05,-9.51e-06,-7.166e-05,-0.00022759,9.002e-05
2025-04-03 11:10:00-04:00,QQQ,0.126808,0.126808,-0.068406,False,-8.846e-05,0.00017693,0.00053079,0.0006856,0.00066348
2025-04-03 11:11:00-04:00,QQQ,-0.348128,-0.348128,0.033707,False,0.00011073,0.00067409,0.00107965,0.00216594,0.00222119
2025-04-03 11:12:00-04:00,QQQ,-0.144409,-0.144409,0.481972,False,0.00012129,0.00027301,0.00051823,0.00029771,0.00069465
2025-04-03 11:13:00-04:00,QQQ,-0.267673,-0.267673,0.50866,False,4.407e-05,-0.00011019,-0.00025343,0.00033056,0.00013222
2025-04-03 11:17:00-04:00,QQQ,0.240905,0.240905,0.43305,False,-5.505e-05,-0.00036401,0.00023122,-0.00012112,0.00064963
2025-04-03 11:19:00-04:00,QQQ,-0.126991,-0.126991,0.366919,False,0.00021998,-6.599e-05,-4.4e-05,-0.00062694,-0.00063794
2025-04-03 11:20:00-04:00,QQQ,-0.016653,-0.016653,0.327851,False,1.101e-05,-0.0001543,-4.424e-05,0.00025468,-0.00072639
2025-04-03 11:22:00-04:00,QQQ,-0.333292,-0.333292,0.171586,False,-2.249e-05,-0.0001411,-0.00026501,0.00046079,0.00055339
2025-04-03 11:23:00-04:00,QQQ,-0.286478,-0.286478,0.050201,False,6.611e-05,0.00103565,0.00102464,6.611e-05,0.00092548
2025-04-03 11:24:00-04:00,QQQ,0.366673,0.366673,0.012225,True,2.268e-05,0.00057238,0.00051735,-0.00070447,-4.403e-05
2025-04-03 11:25:00-04:00,QQQ,0.076204,0.076204,0.313462,False,-0.00031923,-0.00026507,3.368e-05,0.00015213,0.00096869
2025-04-03 11:26:00-04:00,QQQ,-0.172225,-0.172225,0.342518,False,4.399e-05,0.00050367,0.00050587,0.00030792,-0.00061123
2025-04-03 11:27:00-04:00,QQQ,-0.21,-0.21,0.34511,False,0.00091971,0.00040252,0.00054338,0.00074365,0.00111778
2025-04-03 11:28:00-04:00,QQQ,-0.110173,-0.110173,0.355772,False,0.0,0.00019785,0.00012091,-0.00031876,-0.00094528
