signal_time,symbol,signal_score,obi_raw,tfi_raw,is_signal,ret_1s,ret_5s,ret_10s,ret_30s,ret_60s
2025-04-03 09:45:00-04:00,QQQ,-0.149477,-0.129493,-0.160237,False,-0.00065496,-0.00093878,-0.00050214,-0.00013099,-0.00141909
2025-04-03 09:46:00-04:00,QQQ,-0.038957,0.236008,-0.187015,False,-0.00039354,0.00047968,0.00122434,0.00135552,0.0014867
2025-04-03 09:47:00-04:00,QQQ,-0.169077,-0.208881,-0.147645,False,-0.00013098,-0.00055668,-0.00050211,-0.00091689,-0.00196477
2025-04-03 09:48:00-04:00,QQQ,-0.077068,-0.009862,-0.113257,False,-0.00030776,-0.00039613,-0.00017499,0.00045913,0.0012468
2025-04-03 09:49:00-04:00,QQQ,-0.098795,-0.09495,-0.100866,False,4.369e-05,-0.00069363,-0.00093852,-0.00135448,-0.00120156
2025-04-03 09:50:00-04:00,QQQ,0.115646,-0.071085,0.216193,False,-0.00019685,0.00091866,0.00146547,0.002406,0.00287627
2025-04-03 09:51:00-04:00,QQQ,0.047597,-0.285414,0.226912,False,-0.00027263,1.091e-05,-0.00035049,0.00016358,0.00077251
2025-04-03 09:52:00-04:00,QQQ,0.179442,0.046813,0.250857,False,0.00043761,0.00054766,0.00043695,0.00126575,0.00045679
2025-04-03 09:53:00-04:00,QQQ,0.120956,-0.114646,0.247819,False,-8.452e-05,-0.00019344,-0.00092317,-0.00054197,-0.00156578
2025-04-03 09:54:00-04:00,QQQ,0.338793,0.563902,0.21758,True,0.00021817,5.454e-05,0.00051271,-0.00021817,0.00039271
2025-04-03 09:55:00-04:00,QQQ,-0.056911,-0.107133,-0.029868,False,0.00019628,0.00093778,0.00107736,0.00050138,-0.0002652
2025-04-03 09:56:00-04:00,QQQ,-0.213693,-0.394454,-0.11636,False,5.803e-05,-4.276e-05,-0.00052006,-0.00139264,-0.0011745
2025-04-03 09:57:00-04:00,QQQ,-0.078897,0.097458,-0.173857,False,-0.0001092,-0.00037128,-7.644e-05,-0.00031668,-0.00061153
2025-04-03 09:58:00-04:00,QQQ,-0.079387,0.093336,-0.172391,False,-0.00015298,5.289e-05,-0.00030792,-4.371e-05,0.0011707
2025-04-03 09:59:00-04:00,QQQ,0.102267,0.434151,-0.07644,False,0.0003331,0.00063869,0.00092922,0.00033681,5.304e-05
